crc32,name,filename,size,platform,region,status,alt_filenames,notes
881CEAE4,The Great Wall Street Fortune Hunt,vp_46.bin,4096,VP,EU,not_tested,"Great Wall Street Fortune Hunt, The (1983)(Philips)(EU-US).bin",
F390BFEC,The Mousing Cat,vp_47.bin,4096,VP,EU,not_tested,"Mousing Cat, The (1983)(Philips)(EU).bin",
0D2D721D,Trans American Rally + (works only on G7400 and Jopac),vp_60_16.bin,16384,VP,EU,not_tested,,
1C750349,Turtles,vp_49.bin,8192,VP,EU,not_tested,Turtles (1983)(Philips)(EU).bin,
5C8708AC,Voice won't hum anymore,mod_14fix.bin,2048,VP,EU,not_tested,,
A5ABFD39,Voice won't hum anymore,mod_28fix.bin,2048,VP,EU,not_tested,,
07685850,Voice won't hum anymore,mod_30fix.bin,2048,VP,EU,not_tested,,
A2C6750E,Voice won't hum anymore,mod_36fix.bin,2048,VP,EU,not_tested,,
19947048,Voice won't hum anymore,mod_br21_fix.bin,4096,VP,EU,not_tested,,
88D7CE72,Voice won't hum anymore,mod_playtag_fix.bin,4096,VP,EU,not_tested,,
0009965B,Voice won't hum anymore,mod_tutankham_fix.bin,8192,VP,EU,not_tested,,
C8F36C28,works also on a G7400,mod_05_g7400.bin,4096,VP,EU,not_tested,,
C97268DC,"works also on a G7400, doesn't need extra chip anymore",mod_31_g7400.bin,6144,VP,EU,not_tested,,
7C747245,"works also on a G7400, doesn't need extra chip anymore",mod_40_g7400.bin,8192,VP,EU,not_tested,,
A767508B,works on a G7000,mod_moto-crash_g7000.bin,4096,VP,EU,not_tested,,
45EF459C,written by John Dondzila,new_amok.bin,4096,VP,EU,not_tested,,
2247405E,written by John Dondzila,new_amok_alt.bin,4096,VP,EU,not_tested,"Amok (1998)(Dondzilla, John).bin",
ABE9B016,written by Rafael Cardoso,new_route66.bin,2048,VP,EU,not_tested,,
6EF2471A,written by Ralph Bear,pr_pinball.bin,2048,VP,EU,not_tested,Pinball (19xx)(-)(US).bin,
ECCD03BE,written by Rene van den Enden,new_calculator.bin,4096,VP,EU,not_tested,,
245D3533,written by Rene van den Enden,new_pong.bin,2048,VP,EU,not_tested,,
B47F3E0B,written by Soeren Gust,new_ktaa-demo1.bin,8192,VP,EU,not_tested,,
877B4109,written by Soeren Gust,new_ktaa-demo2.bin,8192,VP,EU,not_tested,,
4E2CC6D3,written by Soeren Gust,new_ktaa.bin,12288,VP,EU,not_tested,,
A030B990,written by Ted (Foolery) Szczypiorski,new_mrroboto.bin,8192,VP,EU,not_tested,,
6CB1DE16,written by Ted (Foolery) Szczypiorski,new_planet-lander.bin,2048,VP,EU,not_tested,,
72674ADB,written by Ted (Foolery) Szczypiorski,new_puzzle-piece-panic.bin,8192,VP,EU,not_tested,,
569E4249,8k version with plus graphics,mod_55pl.bin,8192,VP+,EU,not_tested,,
6FABCB7E,Clay Pigeon with Plus background gfx,pr_clay-pigeon_pl.bin,8192,VP+,EU,not_tested,,
A8DBED92,Cosmic Conflict +,vp_11pl.bin,8192,VP+,EU,not_tested,,
7A006985,dark blue enemies are visible again on a G7400,mod_11pl.bin,8192,VP+,EU,not_tested,,
3C949A57,Electronic Billiards + (unreleased),vp_35pl.bin,8192,VP+,EU,not_tested,,
2DA28C17,first line of plus graphics is now visible on a G7400,mod_01pl.bin,8192,VP+,EU,not_tested,,
2FCE9245,Flipper Game + (unreleased),vp_24pl.bin,8192,VP+,EU,not_tested,,
1931F5C5,Freedom Fighters +,vp_39pl.bin,8192,VP+,EU,not_tested,,
CFCA6F39,jo_exojet_pl.bin,jo_exojet_pl.bin,8192,VP+,EU,not_tested,,
B2F0F0B4,jo_le-tresor-englouti_pl.bin,jo_le-tresor-englouti_pl.bin,8192,VP+,EU,not_tested,,
DEE70B33,Killer Bees +,vp_52pl.bin,8192,VP+,EU,not_tested,,
B932D584,Loony Balloon +,vp_54pl.bin,8192,VP+,EU,not_tested,,
26B0FF5B,Nightmare +,vp_53pl.bin,8192,VP+,EU,not_tested,,
A75C42F8,Norseman +  (works only on G7400 and Jopac),vp_56pl.bin,8192,VP+,EU,not_tested,,
B2FFB353,Pick Axe Pete +,vp_43pl.bin,8192,VP+,EU,not_tested,,
82996B1F,Plus graphics corrections,mod_06pl.bin,8192,VP+,EU,not_tested,,
0A2F0F58,Plus graphics corrections,mod_24pl.bin,8192,VP+,EU,not_tested,,
81C20196,Plus graphics corrections,mod_43pl.bin,8192,VP+,EU,not_tested,,
9884EF36,Plus graphics corrections,mod_demon-attack_pl.bin,8192,VP+,EU,not_tested,,
B5FB1416,Plus version,jo_basket-bowling_pl.bin,8192,VP+,EU,not_tested,,
4CEC1404,Plus version,jo_billard_pl.bin,8192,VP+,EU,not_tested,,
50AF9D45,Plus version,jo_demon-attack_pl.bin,8192,VP+,EU,not_tested,,
AC5C74E6,Plus version of Thunderball,jo_flipper_pl.bin,8192,VP+,EU,not_tested,,
7C989567,pr_clay-pigeon_pl_alt.bin,pr_clay-pigeon_pl_alt.bin,8192,VP+,EU,not_tested,,
EE3EE642,Race/Spin-out/Cryptogram +,vp_01pl.bin,8192,VP+,EU,not_tested,,
B4735E6B,Satellite Attack +,vp_34pl.bin,8192,VP+,EU,not_tested,,
2391C2FB,Stone Sling +,vp_20pl.bin,8192,VP+,EU,not_tested,,
25057C11,Stone sling+ with Voice sounds and scoring from Smithereens,mod_20pl.bin,8192,VP+,EU,not_tested,,
E5FB4260,Tenpin Bowling/Basketball + (unreleased),vp_06pl.bin,8192,VP+,EU,not_tested,,
764894A1,Terrahawks +,vp_51pl.bin,8192,VP+,EU,not_tested,,
BE26212B,Voice won't hum anymore,mod_35pl_fix.bin,8192,VP+,EU,not_tested,,
68560DC7,Works only on Jopac and G7400,jo_moto-crash_pl.bin,8192,VP+,EU,not_tested,,
0F46CF66,jo_chez-maxime.bin,jo_chez-maxime.bin,4096,Jopac,EU,not_tested,,
280D08F4,jo_syracuse.bin,jo_syracuse.bin,4096,Jopac,EU,not_tested,,
4103EE95,Air battle,br_58.bin,8192,Brazilian,BR,not_tested,,
FD179F6D,br_clay-pigeon.bin,br_clay-pigeon.bin,4096,Brazilian,BR,not_tested,Clay Pigeon (19xx)(Philips)(BR).bin,
26517E77,br_comando-noturno.bin,br_comando-noturno.bin,8192,Brazilian,BR,not_tested,Comando Noturno (1983)(Philips)(BR).bin,
1B188870,br_popeye.bin,br_popeye.bin,8192,Brazilian,BR,not_tested,Popeye (1983)(Parker Brothers)(BR).bin,
E58AA0AC,br_super-cobra.bin,br_super-cobra.bin,8192,Brazilian,BR,not_tested,Super Cobra (1983)(Parker Brothers)(BR).bin,
E39500A6,Catch the Ball/Noughts and Crosses,br_19.bin,2048,Brazilian,BR,not_tested,O Malabarista + Jogo da Velha (1980)(Philips)(BR).bin,
838A2D1E,Chinese Logic,br_17.bin,2048,Brazilian,BR,not_tested,Desafio Chines (1980)(Philips)(BR).bin,
B1109A09,Depth Charge/Marksman,br_16.bin,2048,Brazilian,BR,not_tested,Bombardeio Submarino + Tiro ao Alvo (1980)(Philips)(BR).bin,
5B6E741A,Loony Balloon,br_54.bin,4096,Brazilian,BR,not_tested,,
25874B04,Neutron star,br_55.bin,8192,Brazilian,BR,not_tested,Buraco Negro (19xx)(Philips)(BR).bin,
A57D84F3,NTSC version of Frogger,br_frogger.bin,8192,Brazilian,BR,not_tested,Frogger (1983)(Parker Brothers)(BR).bin,
16C574C8,Secret of the Pharaohs,br_21.bin,4096,Brazilian,BR,not_tested,O Segredo do Farao (1980)(Philips)(BR).bin,
02743352,Super Bee,br_50.bin,4096,Brazilian,BR,not_tested,Super Bee (1983)(Philips)(BR).bin,
228842DF,The Great Wall Street Fortune Hunt (portuguese),br_46.bin,4096,Brazilian,BR,not_tested,Wall Street (1983)(Philips)(BR).bin,
975AB8DA,4 in 1 Row (1982)(Philips)(EU)[b],4 in 1 Row (1982)(Philips)(EU)[b].bin,2048,,EU,not_tested,,
3B24E1EE,Course de Voitures + Autodrome + Cryptogramme (1980)(Philips)(FR).bin,Course de Voitures + Autodrome + Cryptogramme (1980)(Philips)(FR).bin,2048,,,playable,Vp01_F.bin,
45E62222,German traffic game part1,csv1.bin,2048,,,not_tested,Verkehrsspiele Traffic Games 1 (1982)(CSV - Philips)(DE).bin,
69893F7F,German traffic game part2,csv2.bin,2048,,,not_tested,Verkehrsspiele Traffic Games 2 (1982)(CSV - Philips)(DE).bin,
B096654E,Killer Bees (1983)(Philips)(US).bin,Killer Bees (1983)(Philips)(US).bin,8192,,,playable,o2_47.bin,
9BC04EBB,vp01+_F.bin,vp01+_F.bin,8192,,FR,not_tested,,
6381E402,Vp05_F.bin,Vp05_F.bin,2048,,FR,not_tested,Blackjack (1980)(Philips)(FR).bin,
A7E97958,Vp06_F.bin,Vp06_F.bin,2048,,FR,not_tested,Jeu de Quilles + Basketball (1980)(Philips)(FR).bin,
0C4E4B0A,Vp07_F.bin,Vp07_F.bin,2048,,FR,not_tested,Mathematicien + Echo (1980)(Philips)(FR).bin,
105231F8,Vp11+_F.bin,Vp11+_F.bin,8192,,FR,not_tested,,
2F6E4B46,Vp11_F.bin,Vp11_F.bin,2048,,FR,not_tested,Conflit Cosmique (1980)(Philips)(CA).bin,
AD89F799,Vp12_F.bin,Vp12_F.bin,2048,,FR,not_tested,Prendre l'Argent et Fuir (1980)(Philips)(FR).bin,
CA8AB259,Vp18_F.bin,Vp18_F.bin,2048,,FR,not_tested,Guerre Laser (1980)(Philips)(FR).bin,
A0620082,Vp23_F.bin,Vp23_F.bin,2048,,FR,not_tested,Las Vegas (1980)(Philips)(FR).bin,
54BF4750,Vp24_F.bin,Vp24_F.bin,2048,,FR,not_tested,Billard Electrique (1980)(Philips)(FR).bin,
E129490D,Vp25_F.bin,Vp25_F.bin,2048,,FR,not_tested,Skiing (1980)(Philips)(FR).bin,
551E38A2,Vp28_F.bin,Vp28_F.bin,2048,,FR,not_tested,Volleyball Electronique (1981)(Philips)(FR).bin,
D38153F6,Vp29_F.bin,Vp29_F.bin,2048,,FR,not_tested,"Mur Magique, Le (1981)(Philips)(FR).bin",
A674EA27,Vp35_F.bin,Vp35_F.bin,2048,,FR,not_tested,Billiard Americain (1981)(Philips)(FR).bin,
F00F9DBA,Vp36_F.bin,Vp36_F.bin,2048,,FR,not_tested,Football Electronique + Hockey Electronique (1981)(Philips)(FR).bin,
9B5E9356,Vp40_F.bin,Vp40_F.bin,4096,,FR,not_tested,4 en 1 Ligne (1982)(Philips)(FR).bin,
A21DA732,Vp42_F.bin,Vp42_F.bin,4096,,FR,not_tested,La Quete des Anneaux (1981)(Philips)(FR).bin,
510416B7,Vp45_F.bin,Vp45_F.bin,2048,,FR,not_tested,Morse (1983)(Philips)(FR).bin,
61A350E6,Vp47_F.bin,Vp47_F.bin,4096,,FR,not_tested,Chat et Souris (1983)(Philips)(FR).bin,
20E2F7BE,Vp52+_F.bin,Vp52+_F.bin,8192,,FR,not_tested,,
